trial,samples,filter_executed,role,source_sbox,known_mask,known_value,actual_word,known_bits,consensus_correct
2,320,1,1,7,0xF,0xA,0xA,4,1
2,320,1,2,1,0x3,0x3,0xB,2,1
2,320,1,3,2,0xF,0x5,0x5,4,1
2,320,1,4,3,0xF,0xB,0xB,4,1
2,384,1,0,6,0xF,0xC,0xC,4,1
2,384,1,1,7,0xF,0xA,0xA,4,1
2,384,1,2,1,0x3,0x3,0xB,2,1
2,384,1,3,2,0xF,0x5,0x5,4,1
2,384,1,4,3,0xF,0xB,0xB,4,1
2,512,1,0,6,0xF,0xC,0xC,4,1
2,512,1,1,7,0xF,0xA,0xA,4,1
2,512,1,2,1,0x3,0x3,0xB,2,1
2,512,1,3,2,0xF,0x5,0x5,4,1
2,512,1,4,3,0xF,0xB,0xB,4,1
3,64,0,0,255,0x0,0x0,0x4,0,0
3,64,0,1,255,0x0,0x0,0x6,0,0
3,64,0,2,255,0x0,0x0,0x1,0,0
3,64,0,3,255,0x0,0x0,0x8,0,0
3,64,0,4,255,0x0,0x0,0x5,0,0
3,96,0,0,255,0x0,0x0,0x4,0,0
3,96,0,1,255,0x0,0x0,0x6,0,0
3,96,0,2,255,0x0,0x0,0x1,0,0
3,96,0,3,255,0x0,0x0,0x8,0,0
3,96,0,4,255,0x0,0x0,0x5,0,0
3,128,0,0,255,0x0,0x0,0x4,0,0
3,128,0,1,255,0x0,0x0,0x6,0,0
3,128,0,2,255,0x0,0x0,0x1,0,0
3,128,0,3,255,0x0,0x0,0x8,0,0
3,128,0,4,255,0x0,0x0,0x5,0,0
3,160,1,0,2,0x0,0x0,0x4,0,1
3,160,1,1,3,0x0,0x0,0x6,0,1
3,160,1,2,5,0x0,0x0,0x1,0,1
3,160,1,3,6,0x0,0x0,0x8,0,1
3,160,1,4,7,0x0,0x0,0x5,0,1
3,192,1,0,2,0x0,0x0,0x4,0,1
3,192,1,1,3,0x0,0x0,0x6,0,1
3,192,1,2,5,0x0,0x0,0x1,0,1
3,192,1,3,6,0x0,0x0,0x8,0,1
3,192,1,4,7,0x0,0x0,0x5,0,1
3,256,1,0,2,0x5,0x4,0x4,2,1
3,256,1,1,3,0x2,0x2,0x6,1,1
3,256,1,2,5,0x0,0x0,0x1,0,1
3,256,1,3,6,0x8,0x8,0x8,1,1
3,256,1,4,7,0xF,0x5,0x5,4,1
3,320,1,0,2,0xF,0x4,0x4,4,1
3,320,1,1,3,0xF,0x6,0x6,4,1
3,320,1,2,5,0x3,0x1,0x1,2,1
3,320,1,3,6,0xF,0x8,0x8,4,1
3,320,1,4,7,0xF,0x5,0x5,4,1
3,384,1,0,2,0xF,0x4,0x4,4,1
3,384,1,1,3,0xF,0x6,0x6,4,1
3,384,1,2,5,0x3,0x1,0x1,2,1
3,384,1,3,6,0xF,0x8,0x8,4,1
3,384,1,4,7,0xF,0x5,0x5,4,1
3,512,1,0,2,0xF,0x4,0x4,4,1
3,512,1,1,3,0xF,0x6,0x6,4,1
3,512,1,2,5,0x3,0x1,0x1,2,1
3,512,1,3,6,0xF,0x8,0x8,4,1
3,512,1,4,7,0xF,0x5,0x5,4,1
4,64,0,0,255,0x0,0x0,0x9,0,0
4,64,0,1,255,0x0,0x0,0x8,0,0
4,64,0,2,255,0x0,0x0,0x6,0,0
4,64,0,3,255,0x0,0x0,0x7,0,0
4,64,0,4,255,0x0,0x0,0x3,0,0
4,96,1,0,6,0x0,0x0,0x9,0,1
4,96,1,1,7,0x0,0x0,0x8,0,1
4,96,1,2,1,0x0,0x0,0x6,0,1
4,96,1,3,2,0x0,0x0,0x7,0,1
4,96,1,4,3,0x0,0x0,0x3,0,1
4,128,1,0,6,0x0,0x0,0x9,0,1
4,128,1,1,7,0x0,0x0,0x8,0,1
4,128,1,2,1,0x0,0x0,0x6,0,1
4,128,1,3,2,0x0,0x0,0x7,0,1
4,128,1,4,3,0x0,0x0,0x3,0,1
4,160,1,0,6,0x0,0x0,0x9,0,1
4,160,1,1,7,0x0,0x0,0x8,0,1
4,160,1,2,1,0x0,0x0,0x6,0,1
4,160,1,3,2,0x0,0x0,0x7,0,1
4,160,1,4,3,0x0,0x0,0x3,0,1
4,192,1,0,6,0x0,0x0,0x9,0,1
4,192,1,1,7,0x0,0x0,0x8,0,1
4,192,1,2,1,0x0,0x0,0x6,0,1
4,192,1,3,2,0x0,0x0,0x7,0,1
4,192,1,4,3,0x0,0x0,0x3,0,1
4,256,1,0,6,0xF,0x9,0x9,4,1
4,256,1,1,7,0xF,0x8,0x8,4,1
4,256,1,2,1,0x3,0x2,0x6,2,1
4,256,1,3,2,0xF,0x7,0x7,4,1
4,256,1,4,3,0xF,0x3,0x3,4,1
4,320,1,0,6,0xF,0x9,0x9,4,1
4,320,1,1,7,0xF,0x8,0x8,4,1
4,320,1,2,1,0x3,0x2,0x6,2,1
4,320,1,3,2,0xF,0x7,0x7,4,1
4,320,1,4,3,0xF,0x3,0x3,4,1
4,384,1,0,6,0xF,0x9,0x9,4,1
4,384,1,1,7,0xF,0x8,0x8,4,1
4,384,1,2,1,0x3,0x2,0x6,2,1
4,384,1,3,2,0xF,0x7,0x7,4,1
4,384,1,4,3,0xF,0x3,0x3,4,1
4,512,1,0,6,0xF,0x9,0x9,4,1
4,512,1,1,7,0xF,0x8,0x8,4,1
4,512,1,2,1,0x3,0x2,0x6,2,1
4,512,1,3,2,0xF,0x7,0x7,4,1
4,512,1,4,3,0xF,0x3,0x3,4,1
5,64,0,0,255,0x0,0x0,0xD,0,0
5,64,0,1,255,0x0,0x0,0x9,0,0
5,64,0,2,255,0x0,0x0,0xD,0,0
5,64,0,3,255,0x0,0x0,0xB,0,0
5,64,0,4,255,0x0,0x0,0x5,0,0
5,96,1,0,2,0x0,0x0,0xD,0,1
5,96,1,1,3,0x0,0x0,0x9,0,1
5,96,1,2,5,0x0,0x0,0xD,0,1
5,96,1,3,6,0x0,0x0,0xB,0,1
