trial,samples_per_sbox,master_seed,trial_seed,key,known_delta,actual_sk28,recovered_sk28,full_key_success,correct_words,unique_missing_words,total_queries,mean_queries_per_sbox,min_queries_per_sbox,max_queries_per_sbox,aggregate_empirical_rate,theoretical_rate,absolute_rate_error
1,128,0x5343454E45525931,0xAD18F677B9DCF542,349A825D2877648A7F0C,0x2,0x90FC469F,0x90FC469F,1,8,8,6228,778.500000,674,851,0.164418754014,0.164132936375,0.000285817639
1,160,0x5343454E45525931,0xAD18F677B9DCF542,349A825D2877648A7F0C,0x2,0x90FC469F,0x90FC469F,1,8,8,7859,982.375000,849,1049,0.162870594223,0.164132936375,0.001262342152
1,192,0x5343454E45525931,0xAD18F677B9DCF542,349A825D2877648A7F0C,0x2,0x90FC469F,0x90FC469F,1,8,8,9364,1170.500000,1036,1271,0.164032464759,0.164132936375,0.000100471617
1,256,0x5343454E45525931,0xAD18F677B9DCF542,349A825D2877648A7F0C,0x2,0x90FC469F,0x90FC469F,1,8,8,12556,1569.500000,1389,1739,0.163109270468,0.164132936375,0.001023665907
2,16,0x5343454E45525931,0x0459E4E2B3FA1662,1E1BFF13976C579C8868,0x7,0xFA6F48AB,0x00000000,0,0,0,753,94.125000,69,131,0.169986719788,0.164132936375,0.005853783412
2,24,0x5343454E45525931,0x0459E4E2B3FA1662,1E1BFF13976C579C8868,0x7,0xFA6F48AB,0x00000000,0,0,0,1211,151.375000,141,174,0.158546655656,0.164132936375,0.005586280719
2,32,0x5343454E45525931,0x0459E4E2B3FA1662,1E1BFF13976C579C8868,0x7,0xFA6F48AB,0x00000000,0,0,0,1553,194.125000,175,228,0.164842240824,0.164132936375,0.000709304449
2,40,0x5343454E45525931,0x0459E4E2B3FA1662,1E1BFF13976C579C8868,0x7,0xFA6F48AB,0x00000000,0,0,0,1948,243.500000,222,279,0.164271047228,0.164132936375,0.000138110853
2,48,0x5343454E45525931,0x0459E4E2B3FA1662,1E1BFF13976C579C8868,0x7,0xFA6F48AB,0x00000000,0,0,0,2287,285.875000,248,325,0.167905553126,0.164132936375,0.003772616751
2,56,0x5343454E45525931,0x0459E4E2B3FA1662,1E1BFF13976C579C8868,0x7,0xFA6F48AB,0x00000000,0,0,0,2732,341.500000,285,384,0.163982430454,0.164132936375,0.000150505921
2,64,0x5343454E45525931,0x0459E4E2B3FA1662,1E1BFF13976C579C8868,0x7,0xFA6F48AB,0x00000000,0,1,1,3085,385.625000,336,431,0.165964343598,0.164132936375,0.001831407223
2,72,0x5343454E45525931,0x0459E4E2B3FA1662,1E1BFF13976C579C8868,0x7,0xFA6F48AB,0x00000000,0,1,1,3460,432.500000,372,495,0.166473988439,0.164132936375,0.002341052064
2,80,0x5343454E45525931,0x0459E4E2B3FA1662,1E1BFF13976C579C8868,0x7,0xFA6F48AB,0x00000000,0,3,3,3884,485.500000,420,540,0.164778578785,0.164132936375,0.000645642409
2,96,0x5343454E45525931,0x0459E4E2B3FA1662,1E1BFF13976C579C8868,0x7,0xFA6F48AB,0x00000000,0,3,3,4659,582.375000,495,636,0.164842240824,0.164132936375,0.000709304449
2,112,0x5343454E45525931,0x0459E4E2B3FA1662,1E1BFF13976C579C8868,0x7,0xFA6F48AB,0xFA6F48AB,1,8,8,5457,682.125000,593,729,0.164192779916,0.164132936375,0.000059843540
2,128,0x5343454E45525931,0x0459E4E2B3FA1662,1E1BFF13976C579C8868,0x7,0xFA6F48AB,0xFA6F48AB,1,8,8,6272,784.000000,682,873,0.163265306122,0.164132936375,0.000867630253
2,160,0x5343454E45525931,0x0459E4E2B3FA1662,1E1BFF13976C579C8868,0x7,0xFA6F48AB,0xFA6F48AB,1,8,8,7714,964.250000,866,1055,0.165932071558,0.164132936375,0.001799135183
2,192,0x5343454E45525931,0x0459E4E2B3FA1662,1E1BFF13976C579C8868,0x7,0xFA6F48AB,0xFA6F48AB,1,8,8,9113,1139.125000,1047,1226,0.168550422473,0.164132936375,0.004417486098
2,256,0x5343454E45525931,0x0459E4E2B3FA1662,1E1BFF13976C579C8868,0x7,0xFA6F48AB,0xFA6F48AB,1,8,8,12330,1541.250000,1392,1667,0.166098945661,0.164132936375,0.001966009286
3,16,0x5343454E45525931,0x158C51C5EFBBC18F,A5C4DDAAD22CB3459FAF,0x2,0xFA6A4835,0x00000000,0,0,0,712,89.000000,58,112,0.179775280899,0.164132936375,0.015642344524
3,24,0x5343454E45525931,0x158C51C5EFBBC18F,A5C4DDAAD22CB3459FAF,0x2,0xFA6A4835,0x00000000,0,0,0,1041,130.125000,102,153,0.184438040346,0.164132936375,0.020305103970
3,32,0x5343454E45525931,0x158C51C5EFBBC18F,A5C4DDAAD22CB3459FAF,0x2,0xFA6A4835,0x00000000,0,0,0,1416,177.000000,118,219,0.180790960452,0.164132936375,0.016658024077
3,40,0x5343454E45525931,0x158C51C5EFBBC18F,A5C4DDAAD22CB3459FAF,0x2,0xFA6A4835,0x00000000,0,0,0,1794,224.250000,148,272,0.178372352285,0.164132936375,0.014239415910
3,48,0x5343454E45525931,0x158C51C5EFBBC18F,A5C4DDAAD22CB3459FAF,0x2,0xFA6A4835,0x00000000,0,0,0,2155,269.375000,199,305,0.178190255220,0.164132936375,0.014057318845
3,56,0x5343454E45525931,0x158C51C5EFBBC18F,A5C4DDAAD22CB3459FAF,0x2,0xFA6A4835,0xFA6A4835,1,8,8,2502,312.750000,252,344,0.179056754596,0.164132936375,0.014923818221
3,64,0x5343454E45525931,0x158C51C5EFBBC18F,A5C4DDAAD22CB3459FAF,0x2,0xFA6A4835,0xFA6A4835,1,8,8,2935,366.875000,326,406,0.174446337308,0.164132936375,0.010313400933
3,72,0x5343454E45525931,0x158C51C5EFBBC18F,A5C4DDAAD22CB3459FAF,0x2,0xFA6A4835,0xFA6A4835,1,8,8,3277,409.625000,357,464,0.175770521819,0.164132936375,0.011637585443
3,80,0x5343454E45525931,0x158C51C5EFBBC18F,A5C4DDAAD22CB3459FAF,0x2,0xFA6A4835,0xFA6A4835,1,8,8,3616,452.000000,397,502,0.176991150442,0.164132936375,0.012858214067
3,96,0x5343454E45525931,0x158C51C5EFBBC18F,A5C4DDAAD22CB3459FAF,0x2,0xFA6A4835,0xFA6A4835,1,8,8,4448,556.000000,485,622,0.172661870504,0.164132936375,0.008528934128
