trial,samples_per_sbox,sbox,trial_seed,known_delta,query_count,empirical_rate,missing_count,missing_value,recovered_word,actual_word,unique_missing,word_success
0,64,7,0xF559DB8B509345F2,0x9,374,0.171122994652,1,0x2,0xB,0xB,1,1
0,72,0,0xF559DB8B509345F2,0x9,449,0.160356347439,1,0xF,0x6,0x6,1,1
0,72,1,0xF559DB8B509345F2,0x9,427,0.168618266979,1,0x3,0xA,0xA,1,1
0,72,2,0xF559DB8B509345F2,0x9,406,0.177339901478,1,0x8,0x1,0x1,1,1
0,72,3,0xF559DB8B509345F2,0x9,454,0.158590308370,1,0xE,0x7,0x7,1,1
0,72,4,0xF559DB8B509345F2,0x9,382,0.188481675393,1,0x4,0xD,0xD,1,1
0,72,5,0xF559DB8B509345F2,0x9,388,0.185567010309,1,0xF,0x6,0x6,1,1
0,72,6,0xF559DB8B509345F2,0x9,410,0.175609756098,1,0x4,0xD,0xD,1,1
0,72,7,0xF559DB8B509345F2,0x9,423,0.170212765957,1,0x2,0xB,0xB,1,1
0,80,0,0xF559DB8B509345F2,0x9,509,0.157170923379,1,0xF,0x6,0x6,1,1
0,80,1,0xF559DB8B509345F2,0x9,477,0.167714884696,1,0x3,0xA,0xA,1,1
0,80,2,0xF559DB8B509345F2,0x9,489,0.163599182004,1,0x8,0x1,0x1,1,1
0,80,3,0xF559DB8B509345F2,0x9,542,0.147601476015,1,0xE,0x7,0x7,1,1
0,80,4,0xF559DB8B509345F2,0x9,429,0.186480186480,1,0x4,0xD,0xD,1,1
0,80,5,0xF559DB8B509345F2,0x9,432,0.185185185185,1,0xF,0x6,0x6,1,1
0,80,6,0xF559DB8B509345F2,0x9,450,0.177777777778,1,0x4,0xD,0xD,1,1
0,80,7,0xF559DB8B509345F2,0x9,486,0.164609053498,1,0x2,0xB,0xB,1,1
0,96,0,0xF559DB8B509345F2,0x9,628,0.152866242038,1,0xF,0x6,0x6,1,1
0,96,1,0xF559DB8B509345F2,0x9,552,0.173913043478,1,0x3,0xA,0xA,1,1
0,96,2,0xF559DB8B509345F2,0x9,573,0.167539267016,1,0x8,0x1,0x1,1,1
0,96,3,0xF559DB8B509345F2,0x9,637,0.150706436421,1,0xE,0x7,0x7,1,1
0,96,4,0xF559DB8B509345F2,0x9,549,0.174863387978,1,0x4,0xD,0xD,1,1
0,96,5,0xF559DB8B509345F2,0x9,563,0.170515097691,1,0xF,0x6,0x6,1,1
0,96,6,0xF559DB8B509345F2,0x9,526,0.182509505703,1,0x4,0xD,0xD,1,1
0,96,7,0xF559DB8B509345F2,0x9,567,0.169312169312,1,0x2,0xB,0xB,1,1
0,112,0,0xF559DB8B509345F2,0x9,777,0.144144144144,1,0xF,0x6,0x6,1,1
0,112,1,0xF559DB8B509345F2,0x9,654,0.171253822630,1,0x3,0xA,0xA,1,1
0,112,2,0xF559DB8B509345F2,0x9,643,0.174183514774,1,0x8,0x1,0x1,1,1
0,112,3,0xF559DB8B509345F2,0x9,758,0.147757255937,1,0xE,0x7,0x7,1,1
0,112,4,0xF559DB8B509345F2,0x9,666,0.168168168168,1,0x4,0xD,0xD,1,1
0,112,5,0xF559DB8B509345F2,0x9,642,0.174454828660,1,0xF,0x6,0x6,1,1
0,112,6,0xF559DB8B509345F2,0x9,631,0.177496038035,1,0x4,0xD,0xD,1,1
0,112,7,0xF559DB8B509345F2,0x9,702,0.159544159544,1,0x2,0xB,0xB,1,1
0,128,0,0xF559DB8B509345F2,0x9,866,0.147806004619,1,0xF,0x6,0x6,1,1
0,128,1,0xF559DB8B509345F2,0x9,751,0.170439414115,1,0x3,0xA,0xA,1,1
0,128,2,0xF559DB8B509345F2,0x9,726,0.176308539945,1,0x8,0x1,0x1,1,1
0,128,3,0xF559DB8B509345F2,0x9,836,0.153110047847,1,0xE,0x7,0x7,1,1
0,128,4,0xF559DB8B509345F2,0x9,746,0.171581769437,1,0x4,0xD,0xD,1,1
0,128,5,0xF559DB8B509345F2,0x9,765,0.167320261438,1,0xF,0x6,0x6,1,1
0,128,6,0xF559DB8B509345F2,0x9,750,0.170666666667,1,0x4,0xD,0xD,1,1
0,128,7,0xF559DB8B509345F2,0x9,763,0.167758846658,1,0x2,0xB,0xB,1,1
0,160,0,0xF559DB8B509345F2,0x9,1035,0.154589371981,1,0xF,0x6,0x6,1,1
0,160,1,0xF559DB8B509345F2,0x9,993,0.161127895267,1,0x3,0xA,0xA,1,1
0,160,2,0xF559DB8B509345F2,0x9,898,0.178173719376,1,0x8,0x1,0x1,1,1
0,160,3,0xF559DB8B509345F2,0x9,1040,0.153846153846,1,0xE,0x7,0x7,1,1
0,160,4,0xF559DB8B509345F2,0x9,928,0.172413793103,1,0x4,0xD,0xD,1,1
0,160,5,0xF559DB8B509345F2,0x9,961,0.166493236212,1,0xF,0x6,0x6,1,1
0,160,6,0xF559DB8B509345F2,0x9,949,0.168598524763,1,0x4,0xD,0xD,1,1
0,160,7,0xF559DB8B509345F2,0x9,945,0.169312169312,1,0x2,0xB,0xB,1,1
0,192,0,0xF559DB8B509345F2,0x9,1223,0.156991005724,1,0xF,0x6,0x6,1,1
0,192,1,0xF559DB8B509345F2,0x9,1131,0.169761273210,1,0x3,0xA,0xA,1,1
0,192,2,0xF559DB8B509345F2,0x9,1097,0.175022789426,1,0x8,0x1,0x1,1,1
0,192,3,0xF559DB8B509345F2,0x9,1262,0.152139461173,1,0xE,0x7,0x7,1,1
0,192,4,0xF559DB8B509345F2,0x9,1072,0.179104477612,1,0x4,0xD,0xD,1,1
0,192,5,0xF559DB8B509345F2,0x9,1166,0.164665523156,1,0xF,0x6,0x6,1,1
0,192,6,0xF559DB8B509345F2,0x9,1126,0.170515097691,1,0x4,0xD,0xD,1,1
0,192,7,0xF559DB8B509345F2,0x9,1114,0.172351885099,1,0x2,0xB,0xB,1,1
0,256,0,0xF559DB8B509345F2,0x9,1602,0.159800249688,1,0xF,0x6,0x6,1,1
