target_success_rate,minimum_samples_per_sbox,observed_success_rate,trials
0.50,80,0.590000000,100
0.80,96,0.830000000,100
0.90,112,0.940000000,100
0.95,128,0.990000000,100
0.99,128,0.990000000,100
1.00,160,1.000000000,100
