trial,samples,master_seed,trial_seed,key,secret_sbox,secret_delta,actual_sk28,actual_active_key,expected_public_missing,total_queries,empirical_rate,theoretical_rate,global_missing_count,detected_sbox,detected_missing,localization_success,filter_executed,tested_candidates,candidate_sample_evaluations,surviving_candidates,actual_candidate_present,recovered_active_bits,consensus_correct,delta_recovered,recovered_delta,delta_success,target_outcome_success,estimated_filter_cpu_seconds
2,256,0x5343454E45525932,0x47A801F93B9683AE,32E7661AF47506873F72,7,0x6,0x0FBA64FB,0xB5BAC,0xC,1496,0.171122994652,0.164132936375,1,7,0xC,1,1,1048576,58116744,4,1,18,1,1,0x6,1,1,0.068891
2,320,0x5343454E45525932,0x47A801F93B9683AE,32E7661AF47506873F72,7,0x6,0x0FBA64FB,0xB5BAC,0xC,1887,0.169581346052,0.164132936375,1,7,0xC,1,1,1048576,58117000,4,1,18,1,1,0x6,1,1,0.068891
2,384,0x5343454E45525932,0x47A801F93B9683AE,32E7661AF47506873F72,7,0x6,0x0FBA64FB,0xB5BAC,0xC,2292,0.167539267016,0.164132936375,1,7,0xC,1,1,1048576,58117256,4,1,18,1,1,0x6,1,1,0.068891
2,512,0x5343454E45525932,0x47A801F93B9683AE,32E7661AF47506873F72,7,0x6,0x0FBA64FB,0xB5BAC,0xC,3014,0.169873921699,0.164132936375,1,7,0xC,1,1,1048576,58117768,4,1,18,1,1,0x6,1,1,0.068892
3,64,0x5343454E45525932,0x3FCCFF1AD58C0A7F,A4AA3FE4CE923D51B475,3,0x3,0xB2099E40,0x58164,0x5,329,0.194528875380,0.164132936375,5,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0.000000
3,96,0x5343454E45525932,0x3FCCFF1AD58C0A7F,A4AA3FE4CE923D51B475,3,0x3,0xB2099E40,0x58164,0x5,496,0.193548387097,0.164132936375,2,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0.000000
3,128,0x5343454E45525932,0x3FCCFF1AD58C0A7F,A4AA3FE4CE923D51B475,3,0x3,0xB2099E40,0x58164,0x5,683,0.187408491947,0.164132936375,2,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0.000000
3,160,0x5343454E45525932,0x3FCCFF1AD58C0A7F,A4AA3FE4CE923D51B475,3,0x3,0xB2099E40,0x58164,0x5,837,0.191158900836,0.164132936375,1,3,0x5,1,1,1048576,57289136,1160,1,0,1,0,NA,0,0,0.065488
3,192,0x5343454E45525932,0x3FCCFF1AD58C0A7F,A4AA3FE4CE923D51B475,3,0x3,0xB2099E40,0x58164,0x5,1041,0.184438040346,0.164132936375,1,3,0x5,1,1,1048576,57304368,148,1,0,1,0,NA,0,0,0.065505
3,256,0x5343454E45525932,0x3FCCFF1AD58C0A7F,A4AA3FE4CE923D51B475,3,0x3,0xB2099E40,0x58164,0x5,1467,0.174505794138,0.164132936375,1,3,0x5,1,1,1048576,57307348,8,1,8,1,0,NA,0,0,0.065509
3,320,0x5343454E45525932,0x3FCCFF1AD58C0A7F,A4AA3FE4CE923D51B475,3,0x3,0xB2099E40,0x58164,0x5,1858,0.172228202368,0.164132936375,1,3,0x5,1,1,1048576,57307644,4,1,18,1,1,0x3,1,1,0.065509
3,384,0x5343454E45525932,0x3FCCFF1AD58C0A7F,A4AA3FE4CE923D51B475,3,0x3,0xB2099E40,0x58164,0x5,2226,0.172506738544,0.164132936375,1,3,0x5,1,1,1048576,57307900,4,1,18,1,1,0x3,1,1,0.065509
3,512,0x5343454E45525932,0x3FCCFF1AD58C0A7F,A4AA3FE4CE923D51B475,3,0x3,0xB2099E40,0x58164,0x5,2937,0.174327545114,0.164132936375,1,3,0x5,1,1,1048576,57308412,4,1,18,1,1,0x3,1,1,0.065510
4,64,0x5343454E45525932,0x6E1DD2B1DEA5D149,774DD26E8744993CD990,7,0x5,0x4C3F16E0,0x37689,0xD,429,0.149184149184,0.164132936375,3,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0.000000
4,96,0x5343454E45525932,0x6E1DD2B1DEA5D149,774DD26E8744993CD990,7,0x5,0x4C3F16E0,0x37689,0xD,646,0.148606811146,0.164132936375,1,7,0xD,1,1,1048576,57345416,39568,1,0,1,0,NA,0,0,0.065607
4,128,0x5343454E45525932,0x6E1DD2B1DEA5D149,774DD26E8744993CD990,7,0x5,0x4C3F16E0,0x37689,0xD,849,0.150765606596,0.164132936375,1,7,0xD,1,1,1048576,57898560,5164,1,0,1,0,NA,0,0,0.066240
4,160,0x5343454E45525932,0x6E1DD2B1DEA5D149,774DD26E8744993CD990,7,0x5,0x4C3F16E0,0x37689,0xD,1030,0.155339805825,0.164132936375,1,7,0xD,1,1,1048576,57977332,860,1,0,1,0,NA,0,0,0.066330
4,192,0x5343454E45525932,0x6E1DD2B1DEA5D149,774DD26E8744993CD990,7,0x5,0x4C3F16E0,0x37689,0xD,1244,0.154340836013,0.164132936375,1,7,0xD,1,1,1048576,57986576,64,1,0,1,0,NA,0,0,0.066341
4,256,0x5343454E45525932,0x6E1DD2B1DEA5D149,774DD26E8744993CD990,7,0x5,0x4C3F16E0,0x37689,0xD,1597,0.160300563557,0.164132936375,1,7,0xD,1,1,1048576,57987676,4,1,18,1,1,0x5,1,1,0.066342
4,320,0x5343454E45525932,0x6E1DD2B1DEA5D149,774DD26E8744993CD990,7,0x5,0x4C3F16E0,0x37689,0xD,1964,0.162932790224,0.164132936375,1,7,0xD,1,1,1048576,57987932,4,1,18,1,1,0x5,1,1,0.066342
4,384,0x5343454E45525932,0x6E1DD2B1DEA5D149,774DD26E8744993CD990,7,0x5,0x4C3F16E0,0x37689,0xD,2301,0.166883963494,0.164132936375,1,7,0xD,1,1,1048576,57988188,4,1,18,1,1,0x5,1,1,0.066342
4,512,0x5343454E45525932,0x6E1DD2B1DEA5D149,774DD26E8744993CD990,7,0x5,0x4C3F16E0,0x37689,0xD,3038,0.168531928901,0.164132936375,1,7,0xD,1,1,1048576,57988700,4,1,18,1,1,0x5,1,1,0.066343
5,64,0x5343454E45525932,0x2FC82C980E36CD39,D22B67D69BF6BA501C9C,3,0x8,0xEC52B56E,0x5BD9D,0x1,388,0.164948453608,0.164132936375,3,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0.000000
5,96,0x5343454E45525932,0x2FC82C980E36CD39,D22B67D69BF6BA501C9C,3,0x8,0xEC52B56E,0x5BD9D,0x1,605,0.158677685950,0.164132936375,1,3,0x1,1,1,1048576,56003732,33988,1,0,1,0,NA,0,0,0.065147
5,128,0x5343454E45525932,0x2FC82C980E36CD39,D22B67D69BF6BA501C9C,3,0x8,0xEC52B56E,0x5BD9D,0x1,791,0.161820480405,0.164132936375,1,3,0x1,1,1,1048576,56469272,4096,1,0,1,0,NA,0,0,0.065688
5,160,0x5343454E45525932,0x2FC82C980E36CD39,D22B67D69BF6BA501C9C,3,0x8,0xEC52B56E,0x5BD9D,0x1,967,0.165460186143,0.164132936375,1,3,0x1,1,1,1048576,56517432,328,1,0,1,0,NA,0,0,0.065744
5,192,0x5343454E45525932,0x2FC82C980E36CD39,D22B67D69BF6BA501C9C,3,0x8,0xEC52B56E,0x5BD9D,0x1,1112,0.172661870504,0.164132936375,1,3,0x1,1,1,1048576,56522728,64,1,0,1,0,NA,0,0,0.065751
5,256,0x5343454E45525932,0x2FC82C980E36CD39,D22B67D69BF6BA501C9C,3,0x8,0xEC52B56E,0x5BD9D,0x1,1459,0.175462645648,0.164132936375,1,3,0x1,1,1,1048576,56523744,8,1,12,1,0,NA,0,0,0.065752
5,320,0x5343454E45525932,0x2FC82C980E36CD39,D22B67D69BF6BA501C9C,3,0x8,0xEC52B56E,0x5BD9D,0x1,1786,0.179171332587,0.164132936375,1,3,0x1,1,1,1048576,56524056,4,1,18,1,1,0x8,1,1,0.065752
5,384,0x5343454E45525932,0x2FC82C980E36CD39,D22B67D69BF6BA501C9C,3,0x8,0xEC52B56E,0x5BD9D,0x1,2234,0.171888988362,0.164132936375,1,3,0x1,1,1,1048576,56524312,4,1,18,1,1,0x8,1,1,0.065752
5,512,0x5343454E45525932,0x2FC82C980E36CD39,D22B67D69BF6BA501C9C,3,0x8,0xEC52B56E,0x5BD9D,0x1,3000,0.170666666667,0.164132936375,1,3,0x1,1,1,1048576,56524824,4,1,18,1,1,0x8,1,1,0.065753
6,64,0x5343454E45525932,0xDC6928461454A504,45A5D1D1DF1DAA902B5D,0,0x2,0x6322B1EC,0x4885C,0x7,366,0.174863387978,0.164132936375,2,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0.000000
6,96,0x5343454E45525932,0xDC6928461454A504,45A5D1D1DF1DAA902B5D,0,0x2,0x6322B1EC,0x4885C,0x7,584,0.164383561644,0.164132936375,1,0,0x7,1,1,1048576,54823172,32860,1,0,1,0,NA,0,0,0.062163
6,128,0x5343454E45525932,0xDC6928461454A504,45A5D1D1DF1DAA902B5D,0,0x2,0x6322B1EC,0x4885C,0x7,779,0.164313222080,0.164132936375,1,0,0x7,1,1,1048576,55253780,3328,1,0,1,0,NA,0,0,0.062651
6,160,0x5343454E45525932,0xDC6928461454A504,45A5D1D1DF1DAA902B5D,0,0x2,0x6322B1EC,0x4885C,0x7,951,0.168243953733,0.164132936375,1,0,0x7,1,1,1048576,55301444,408,1,0,1,0,NA,0,0,0.062705
6,192,0x5343454E45525932,0xDC6928461454A504,45A5D1D1DF1DAA902B5D,0,0x2,0x6322B1EC,0x4885C,0x7,1146,0.167539267016,0.164132936375,1,0,0x7,1,1,1048576,55308024,76,1,0,1,0,NA,0,0,0.062712
