parameter,value
sample_count,65536
detected_sbox,5
public_minimum,0xC
best_sei,0.000151690095663
second_best_sei,2.62260437012e-05
sei_gap,0.000125464051962
best_candidate_count,1
coupled_delta_key_candidates,16
status,PASS
