parameter,value
sample_count,65536
target_sbox,5
rank1_candidate_count,4
varying_role,C
varying_source_sbox,7
varying_bit_mask,0xC
constant_bit_mask,0x3
unique_exact_sequences,2
xor_equivalence_classes,1
unique_sei_scores,1
all_pairs_constant_xor,YES
all_prefix_scores_equal,YES
more_samples_can_break_current_sei_tie,NO
honest_recovery,18/20 active bits + unique delta
status,PASS
