samples,trials,localization_successes,localization_success_rate,localization_ci95_low,localization_ci95_high,actual_candidate_retained,actual_candidate_retention_rate,delta_successes,delta_success_rate,delta_ci95_low,delta_ci95_high,target_outcome_successes,target_outcome_success_rate,target_ci95_low,target_ci95_high,filter_execution_rate,mean_recovered_bits_overall,std_recovered_bits_overall,mean_recovered_bits_when_localized,std_recovered_bits_when_localized,mean_surviving_candidates_when_localized,median_surviving_candidates_when_localized,min_surviving_candidates_when_localized,max_surviving_candidates_when_localized
64,100,11,0.110000000,0.062541964,0.186312965,11,0.110000000,0,0.000000000,0.000000000,0.036993498,0,0.000000000,0.000000000,0.036993498,0.110000000,0.000000,0.000000,0.000000,0.000000,248994.181818,247460.000000,228504,277044
96,100,82,0.820000000,0.733326416,0.882997745,82,0.820000000,0,0.000000000,0.000000000,0.036993498,0,0.000000000,0.000000000,0.036993498,0.820000000,0.000000,0.000000,0.000000,0.000000,33901.073171,33998.000000,21880,45696
128,100,95,0.950000000,0.888249531,0.978456321,95,0.950000000,0,0.000000000,0.000000000,0.036993498,0,0.000000000,0.000000000,0.036993498,0.950000000,0.000000,0.000000,0.000000,0.000000,4507.789474,4380.000000,2012,7228
160,100,100,1.000000000,0.963006502,1.000000000,100,1.000000000,0,0.000000000,0.000000000,0.036993498,0,0.000000000,0.000000000,0.036993498,1.000000000,0.000000,0.000000,0.000000,0.000000,605.320000,578.000000,232,1188
192,100,100,1.000000000,0.963006502,1.000000000,100,1.000000000,0,0.000000000,0.000000000,0.036993498,0,0.000000000,0.000000000,0.036993498,1.000000000,0.020000,0.140705,0.020000,0.140705,81.600000,76.000000,28,236
256,100,100,1.000000000,0.963006502,1.000000000,100,1.000000000,73,0.730000000,0.635678832,0.807304159,68,0.680000000,0.583373814,0.763308527,1.000000000,15.450000,4.219663,15.450000,4.219663,5.520000,4.000000,4,16
320,100,100,1.000000000,0.963006502,1.000000000,100,1.000000000,98,0.980000000,0.929988209,0.994498032,96,0.960000000,0.901629286,0.984336696,1.000000000,17.880000,0.755853,17.880000,0.755853,4.160000,4.000000,4,8
384,100,100,1.000000000,0.963006502,1.000000000,100,1.000000000,99,0.990000000,0.945513804,0.998232568,97,0.970000000,0.915480636,0.989745476,1.000000000,17.950000,0.297294,17.950000,0.297294,4.120000,4.000000,4,8
512,100,100,1.000000000,0.963006502,1.000000000,100,1.000000000,100,1.000000000,0.963006502,1.000000000,100,1.000000000,0.963006502,1.000000000,1.000000000,18.000000,0.000000,18.000000,0.000000,4.000000,4.000000,4,4
