sbox,value,count,probability,is_lane_minimum,is_detected_lane
0,0x0,4078,0.062225341797,0,0
0,0x1,4072,0.062133789062,0,0
0,0x2,4136,0.063110351562,0,0
0,0x3,4007,0.061141967773,0,0
0,0x4,4005,0.061111450195,0,0
0,0x5,4188,0.063903808594,0,0
0,0x6,4137,0.063125610352,0,0
0,0x7,4090,0.062408447266,0,0
0,0x8,4028,0.061462402344,0,0
0,0x9,3971,0.060592651367,1,0
0,0xA,4146,0.063262939453,0,0
0,0xB,4157,0.063430786133,0,0
0,0xC,4115,0.062789916992,0,0
0,0xD,4142,0.063201904297,0,0
0,0xE,4094,0.062469482422,0,0
0,0xF,4170,0.063629150391,0,0
1,0x0,4059,0.061935424805,0,0
1,0x1,4116,0.062805175781,0,0
1,0x2,3985,0.060806274414,1,0
1,0x3,4195,0.064010620117,0,0
1,0x4,4089,0.062393188477,0,0
1,0x5,4063,0.061996459961,0,0
1,0x6,4089,0.062393188477,0,0
1,0x7,4057,0.061904907227,0,0
1,0x8,4072,0.062133789062,0,0
1,0x9,4179,0.063766479492,0,0
1,0xA,4063,0.061996459961,0,0
1,0xB,4149,0.063308715820,0,0
1,0xC,4078,0.062225341797,0,0
1,0xD,4152,0.063354492188,0,0
1,0xE,4021,0.061355590820,0,0
1,0xF,4169,0.063613891602,0,0
2,0x0,4011,0.061203002930,0,0
2,0x1,4228,0.064514160156,0,0
2,0x2,4087,0.062362670898,0,0
2,0x3,4144,0.063232421875,0,0
2,0x4,4148,0.063293457031,0,0
2,0x5,4124,0.062927246094,0,0
2,0x6,4077,0.062210083008,0,0
2,0x7,4187,0.063888549805,0,0
2,0x8,3904,0.059570312500,1,0
2,0x9,4154,0.063385009766,0,0
2,0xA,4041,0.061660766602,0,0
2,0xB,4206,0.064178466797,0,0
2,0xC,4128,0.062988281250,0,0
2,0xD,4063,0.061996459961,0,0
2,0xE,3975,0.060653686523,0,0
2,0xF,4059,0.061935424805,0,0
3,0x0,4029,0.061477661133,0,0
3,0x1,4230,0.064544677734,0,0
3,0x2,4098,0.062530517578,0,0
3,0x3,4022,0.061370849609,0,0
3,0x4,4078,0.062225341797,0,0
3,0x5,4119,0.062850952148,0,0
3,0x6,4059,0.061935424805,0,0
3,0x7,4062,0.061981201172,0,0
3,0x8,4143,0.063217163086,0,0
3,0x9,4180,0.063781738281,0,0
3,0xA,4156,0.063415527344,0,0
3,0xB,4117,0.062820434570,0,0
3,0xC,4006,0.061126708984,1,0
3,0xD,4035,0.061569213867,0,0
3,0xE,4062,0.061981201172,0,0
3,0xF,4140,0.063171386719,0,0
4,0x0,4163,0.063522338867,0,0
4,0x1,4197,0.064041137695,0,0
4,0x2,4108,0.062683105469,0,0
4,0x3,4133,0.063064575195,0,0
4,0x4,4040,0.061645507812,0,0
4,0x5,4020,0.061340332031,0,0
4,0x6,4152,0.063354492188,0,0
4,0x7,4055,0.061874389648,0,0
4,0x8,4094,0.062469482422,0,0
4,0x9,4116,0.062805175781,0,0
4,0xA,4046,0.061737060547,0,0
4,0xB,4135,0.063095092773,0,0
4,0xC,4134,0.063079833984,0,0
4,0xD,4124,0.062927246094,0,0
4,0xE,4042,0.061676025391,0,0
4,0xF,3977,0.060684204102,1,0
5,0x0,4095,0.062484741211,0,1
5,0x1,4245,0.064773559570,0,1
5,0x2,4178,0.063751220703,0,1
5,0x3,4179,0.063766479492,0,1
5,0x4,4119,0.062850952148,0,1
5,0x5,4217,0.064346313477,0,1
5,0x6,4082,0.062286376953,0,1
5,0x7,4041,0.061660766602,0,1
5,0x8,4066,0.062042236328,0,1
5,0x9,4151,0.063339233398,0,1
5,0xA,4099,0.062545776367,0,1
5,0xB,4133,0.063064575195,0,1
5,0xC,3352,0.051147460938,1,1
5,0xD,4269,0.065139770508,0,1
5,0xE,4127,0.062973022461,0,1
5,0xF,4183,0.063827514648,0,1
6,0x0,4158,0.063446044922,0,0
6,0x1,4133,0.063064575195,0,0
6,0x2,4085,0.062332153320,0,0
6,0x3,4053,0.061843872070,0,0
6,0x4,4151,0.063339233398,0,0
6,0x5,4151,0.063339233398,0,0
6,0x6,4120,0.062866210938,0,0
6,0x7,4203,0.064132690430,0,0
6,0x8,3982,0.060760498047,0,0
6,0x9,4069,0.062088012695,0,0
6,0xA,4110,0.062713623047,0,0
6,0xB,4107,0.062667846680,0,0
6,0xC,4108,0.062683105469,0,0
6,0xD,3947,0.060226440430,1,0
6,0xE,4115,0.062789916992,0,0
6,0xF,4044,0.061706542969,0,0
7,0x0,4234,0.064605712891,0,0
7,0x1,4060,0.061950683594,0,0
7,0x2,4039,0.061630249023,0,0
7,0x3,4094,0.062469482422,0,0
7,0x4,4086,0.062347412109,0,0
7,0x5,4110,0.062713623047,0,0
7,0x6,4064,0.062011718750,0,0
7,0x7,4088,0.062377929688,0,0
7,0x8,4078,0.062225341797,0,0
7,0x9,4176,0.063720703125,0,0
7,0xA,4025,0.061416625977,0,0
7,0xB,4191,0.063949584961,0,0
7,0xC,4114,0.062774658203,0,0
7,0xD,4112,0.062744140625,0,0
7,0xE,4083,0.062301635742,0,0
7,0xF,3982,0.060760498047,1,0
