candidate_index,packed_active_words,word_A,word_B,word_C,word_D,word_E,missing_mask,missing_count,missing_values
0,0x3B37E,0xE,0x7,0x3,0xB,0x3,0x0010,1,0x4
1,0x3B77E,0xE,0x7,0x7,0xB,0x3,0x0020,1,0x5
2,0x3BB7E,0xE,0x7,0xB,0xB,0x3,0x0020,1,0x5
3,0x3BF7E,0xE,0x7,0xF,0xB,0x3,0x0010,1,0x4
