parameter,value
secret_sbox,5
secret_delta,0xB
correct_sbox_output,0xD
faulty_sbox_output,0xE
seed,0x6A09E667F3BCC909
published_count,65536
internal_ineffective_count,10894
internal_infected_count,54642
theoretical_ineffective_rate,0.164132936375
empirical_ineffective_rate,0.166229248047
