parameter,value
target_sbox,3
known_delta,0x5
correct_sbox_output,0xE
faulty_sbox_output,0xF
seed,0xBB67AE8584CAA73B
target_ineffective,4096
total_queries,25570
ineffective_count,4096
effective_count,21474
theoretical_rate,0.164132936375
empirical_rate,0.160187719984
absolute_error,0.003945216391
