sample_count,candidate,score_numerator,sei,equal_within_prefix
64,0x3B37E,864,0.01318359375,1
64,0x3B77E,864,0.01318359375,1
64,0x3BB7E,864,0.01318359375,1
64,0x3BF7E,864,0.01318359375,1
256,0x3B37E,1664,0.0015869140625,1
256,0x3B77E,1664,0.0015869140625,1
256,0x3BB7E,1664,0.0015869140625,1
256,0x3BF7E,1664,0.0015869140625,1
1024,0x3B37E,12768,0.000761032104492188,1
1024,0x3B77E,12768,0.000761032104492188,1
1024,0x3BB7E,12768,0.000761032104492188,1
1024,0x3BF7E,12768,0.000761032104492188,1
4096,0x3B37E,65472,0.000243902206420898,1
4096,0x3B77E,65472,0.000243902206420898,1
4096,0x3BB7E,65472,0.000243902206420898,1
4096,0x3BF7E,65472,0.000243902206420898,1
16384,0x3B37E,479072,0.000111542642116547,1
16384,0x3B77E,479072,0.000111542642116547,1
16384,0x3BB7E,479072,0.000111542642116547,1
16384,0x3BF7E,479072,0.000111542642116547,1
65536,0x3B37E,8340224,0.000121366232633591,1
65536,0x3B77E,8340224,0.000121366232633591,1
65536,0x3BB7E,8340224,0.000121366232633591,1
65536,0x3BF7E,8340224,0.000121366232633591,1
