trial,samples_per_sbox,master_seed,trial_seed,key,known_delta,actual_sk28,recovered_sk28,full_key_success,correct_words,unique_minimum_words,total_public_outputs,total_internal_ineffective,total_infected,aggregate_empirical_rate,theoretical_rate,absolute_rate_error,mean_minimum_gap,min_minimum_gap,max_minimum_gap
41,3072,0x5343454E45565937,0x6881D5ED790313B3,5EE67C6A65F1F9E4D092,0xB,0x5A879B7B,0x1A85DB39,0,6,8,24576,3980,20596,0.161946614583,0.164132936375,0.002186321792,15.750000,6,26
41,4096,0x5343454E45565937,0x6881D5ED790313B3,5EE67C6A65F1F9E4D092,0xB,0x5A879B7B,0x1A87D939,0,6,8,32768,5352,27416,0.163330078125,0.164132936375,0.000802858250,13.125000,3,28
41,6144,0x5343454E45565937,0x6881D5ED790313B3,5EE67C6A65F1F9E4D092,0xB,0x5A879B7B,0x5A859B79,0,7,8,49152,8071,41081,0.164204915365,0.164132936375,0.000071978989,30.125000,9,48
41,8192,0x5343454E45565937,0x6881D5ED790313B3,5EE67C6A65F1F9E4D092,0xB,0x5A879B7B,0x5A879B7B,1,8,8,65536,10768,54768,0.164306640625,0.164132936375,0.000173704250,37.625000,6,58
41,12288,0x5343454E45565937,0x6881D5ED790313B3,5EE67C6A65F1F9E4D092,0xB,0x5A879B7B,0x5A879B7B,1,8,8,98304,16182,82122,0.164611816406,0.164132936375,0.000478880031,81.250000,23,115
41,16384,0x5343454E45565937,0x6881D5ED790313B3,5EE67C6A65F1F9E4D092,0xB,0x5A879B7B,0x5A879B7B,1,8,8,131072,21492,109580,0.163970947266,0.164132936375,0.000161989110,102.375000,28,143
41,24576,0x5343454E45565937,0x6881D5ED790313B3,5EE67C6A65F1F9E4D092,0xB,0x5A879B7B,0x5A879B7B,1,8,8,196608,32347,164261,0.164525349935,0.164132936375,0.000392413560,164.000000,91,206
41,32768,0x5343454E45565937,0x6881D5ED790313B3,5EE67C6A65F1F9E4D092,0xB,0x5A879B7B,0x5A879B7B,1,8,8,262144,43119,219025,0.164485931396,0.164132936375,0.000352995021,239.625000,178,287
42,512,0x5343454E45565937,0x5FF69B82A8D8A825,DE3AE9939C1D60C97B30,0xE,0x09BDE4B0,0x2B2F6234,0,3,8,4096,673,3423,0.164306640625,0.164132936375,0.000173704250,3.000000,1,5
42,1024,0x5343454E45565937,0x5FF69B82A8D8A825,DE3AE9939C1D60C97B30,0xE,0x09BDE4B0,0x00000000,0,3,7,8192,1382,6810,0.168701171875,0.164132936375,0.004568235500,5.000000,2,12
