candidate_index,delta_candidate,sk28_word_candidate,detected_sbox,public_minimum
0,0x0,0xC,5,0xC
1,0x1,0xD,5,0xC
2,0x2,0xE,5,0xC
3,0x3,0xF,5,0xC
4,0x4,0x8,5,0xC
5,0x5,0x9,5,0xC
6,0x6,0xA,5,0xC
7,0x7,0xB,5,0xC
8,0x8,0x4,5,0xC
9,0x9,0x5,5,0xC
10,0xA,0x6,5,0xC
11,0xB,0x7,5,0xC
12,0xC,0x0,5,0xC
13,0xD,0x1,5,0xC
14,0xE,0x2,5,0xC
15,0xF,0x3,5,0xC
